WaveStart=200
//=Minus,BaseRad,Plus,RotRate,Cal,Load
A=-120,0,120,0.75,20.3,12.0
B=-120,0,120,0.75,20.3,12.0
C=-120,180,120,0.75,20.3,12.0
D=-120,180,120,0.75,20.3,12.0
SBA=-0,0,150,0.75,12.7,1.0
SBB=-150,0,0,0.75,12.7,1.0
SBC=-0,0,150,0.75,12.7,1.0
SBD=-150,0,0,0.75,12.7,1.0
SBE=-0,0,150,0.75,12.7,1.0
SBF=-150,0,0,0.75,12.7,1.0
AAA=-90,90,90,0.75,1.27,0.1
AAB=-90,-90,90,0.75,1.27,0.1
AAC=-90,90,90,0.75,1.27,0.1
AAD=-90,-90,90,0.75,1.27,0.1
AAE=-90,90,90,0.75,1.27,0.1
AAF=-90,-90,90,0.75,1.27,0.1
